length_natural,od,wire_dia,length_max,load_min,load_max,stiffness,material,pkg_qty,part_number,pkg_cost
0.00635,0.0016002,0.0001778,0.013716,0.1334466,1.4234304,175.126771653543,Music-Wire Steel,5,5108N001,13.38
0.00635,0.0016002,0.0001778,0.018542,0.1334466,1.4234304,122.58874015748,Music-Wire Steel,5,5108N002,13.38
0.00635,0.0016002,0.0002032,0.011684,0.1779288,2.001699,350.253543307087,Music-Wire Steel,5,5108N006,13.38
0.00635,0.0016002,0.0002032,0.01524,0.1779288,2.001699,245.177480314961,Music-Wire Steel,5,5108N007,13.38
0.00635,0.0016002,0.0002286,0.01016,0.2668932,2.7578964,647.96905511811,Music-Wire Steel,5,5108N013,13.38
0.00635,0.0016002,0.0002286,0.013208,0.2668932,2.7578964,472.842283464567,Music-Wire Steel,5,5108N014,13.38
0.00635,0.0016002,0.0002794,0.008636,0.444822,4.8485598,1943.90716535433,Music-Wire Steel,5,5108N02,13.38
0.00635,0.0016002,0.0002794,0.011176,0.444822,4.8485598,1383.50149606299,Music-Wire Steel,5,5108N021,13.38
0.009525,0.0016002,0.0001778,0.023622,0.1334466,1.4234304,87.5633858267717,Music-Wire Steel,5,5108N003,13.38
0.009525,0.0016002,0.0002032,0.01905,0.1779288,2.001699,192.639448818898,Music-Wire Steel,5,5108N008,13.38
0.009525,0.0016002,0.0002286,0.01651,0.2668932,2.7578964,367.766220472441,Music-Wire Steel,5,5108N015,13.38
0.009525,0.0016002,0.0002794,0.01397,0.444822,4.8485598,1033.24795275591,Music-Wire Steel,5,5108N022,13.38
0.009525,0.0023876,0.000254,0.021336,0.222411,2.668932,210.152125984252,Music-Wire Steel,5,5108N027,13.38
0.009525,0.0023876,0.0002794,0.018288,0.2668932,3.113754,332.740866141732,Music-Wire Steel,5,5108N034,13.38
0.009525,0.0023876,0.0003048,0.016764,0.444822,4.44822,560.405669291339,Music-Wire Steel,5,5108N041,13.38
0.009525,0.0023876,0.0003302,0.01524,0.444822,5.115453,805.583149606299,Music-Wire Steel,5,5108N048,13.38
0.009525,0.0023876,0.0003556,0.014478,0.7561974,6.67233,1243.40007874016,Music-Wire Steel,5,5108N055,13.38
0.009525,0.0023876,0.0004064,0.013208,0.8451618,9.563673,2486.80015748031,Music-Wire Steel,5,5108N062,13.38
0.009525,0.003048,0.0004064,0.014478,0.889644,7.117152,1383.50149606299,Music-Wire Steel,5,5108N073,10.45
0.009525,0.003048,0.0004572,0.013208,0.889644,9.786084,2521.82551181102,Music-Wire Steel,5,5108N083,10.45
0.0127,0.0016002,0.0001778,0.028448,0.1334466,1.4234304,70.0507086614173,Music-Wire Steel,5,5108N004,13.38
0.0127,0.0016002,0.0001778,0.033274,0.1334466,1.4234304,70.0507086614173,Music-Wire Steel,5,5108N005,13.38
0.0127,0.0016002,0.0002032,0.023114,0.1779288,2.001699,157.614094488189,Music-Wire Steel,5,5108N009,13.38
0.0127,0.0016002,0.0002032,0.02667,0.1779288,2.001699,122.58874015748,Music-Wire Steel,5,5108N01,13.38
0.0127,0.0016002,0.0002286,0.019558,0.2668932,2.7578964,297.715511811024,Music-Wire Steel,5,5108N016,13.38
0.0127,0.0016002,0.0002286,0.02286,0.2668932,2.7578964,245.177480314961,Music-Wire Steel,5,5108N017,13.38
0.0127,0.0016002,0.0002794,0.01651,0.444822,4.8485598,840.608503937008,Music-Wire Steel,5,5108N023,13.38
0.0127,0.0016002,0.0002794,0.018796,0.444822,4.8485598,718.019763779528,Music-Wire Steel,5,5108N024,13.38
0.0127,0.0023876,0.000254,0.026162,0.222411,2.668932,157.614094488189,Music-Wire Steel,5,5108N028,13.38
0.0127,0.0023876,0.000254,0.031242,0.222411,2.668932,140.101417322835,Music-Wire Steel,5,5108N029,13.38
0.0127,0.0023876,0.0002794,0.022098,0.2668932,3.113754,262.690157480315,Music-Wire Steel,5,5108N035,13.38
0.0127,0.0023876,0.0002794,0.026162,0.2668932,3.113754,210.152125984252,Music-Wire Steel,5,5108N036,13.38
0.0127,0.0023876,0.0003048,0.020828,0.444822,4.44822,420.304251968504,Music-Wire Steel,5,5108N042,13.38
0.0127,0.0023876,0.0003048,0.02413,0.444822,4.44822,350.253543307087,Music-Wire Steel,5,5108N043,13.38
0.0127,0.0023876,0.0003302,0.018542,0.444822,5.115453,630.456377952756,Music-Wire Steel,5,5108N049,13.38
0.0127,0.0023876,0.0003302,0.02159,0.444822,5.115453,525.38031496063,Music-Wire Steel,5,5108N05,13.38
0.0127,0.0023876,0.0003556,0.017272,0.7561974,6.67233,963.197244094488,Music-Wire Steel,5,5108N056,13.38
0.0127,0.0023876,0.0003556,0.020066,0.7561974,6.67233,805.583149606299,Music-Wire Steel,5,5108N057,13.38
0.0127,0.0023876,0.0004064,0.015748,0.8451618,9.563673,1926.39448818898,Music-Wire Steel,5,5108N063,13.38
0.0127,0.0023876,0.0004064,0.018034,0.8451618,9.563673,1611.1662992126,Music-Wire Steel,5,5108N064,13.38
0.0127,0.003048,0.0004064,0.020828,0.889644,7.117152,805.583149606299,Music-Wire Steel,5,5108N074,10.45
0.0127,0.003048,0.000508,0.017272,1.334466,13.34466,2644.4142519685,Music-Wire Steel,5,5108N091,10.45
0.0127,0.003175,0.0003556,0.0191516,0.667233,3.3806472,420.304251968504,Music-Wire Steel,12,9654K941,10.05
0.0127,0.003175,0.0004572,0.0156464,1.8237702,6.7612944,1674.21193700787,Music-Wire Steel,12,9654K942,10.05
0.0127,0.004572,0.0005588,0.018542,0.889644,11.565372,1838.8311023622,Music-Wire Steel,3,9044K31,5.89
0.0127,0.004572,0.0006604,0.016764,1.779288,18.682524,4255.5805511811,Music-Wire Steel,5,5108N155,14.92
0.0127,0.004572,0.0007874,0.015494,2.668932,30.247896,10402.5302362205,Music-Wire Steel,5,5108N176,14.92
